,Al Franken (D-MN),Amy Klobuchar (D-MN),Angus King (I-ME),Barbara Boxer (D-CA),Barbara Mikulski (D-MD),Ben Cardin (D-MD),Ben Sasse (R-NE),Bernie Sanders (I-VT),Bill Cassidy (R-LA),Bill Nelson (D-FL),Bob Casey (D-PA),Bob Corker (R-TN),Brian Schatz (D-HI),Charles Schumer (D-NY),Christopher Coons (D-DE),Christopher Murphy (D-CT),Chuck Grassley (R-IA),Claire McCaskill (D-MO),Cory Booker (D-NJ),Cory Gardner (R-CO),Dan Coats (R-IN),Dan Sullivan (R-AK),David Perdue (R-GA),David Vitter (R-LA),Dean Heller (R-NV),Deb Fischer (R-NE),Debbie Stabenow (D-MI),Dianne Feinstein (D-CA),Edward Markey (D-MA),Elizabeth Warren (D-MA),Gary Peters (D-MI),Harry Reid (D-NV),Heidi Heitkamp (D-ND),James  Risch (R-ID),James Lankford (R-OK),Jeanne Shaheen (D-NH),Jeff Flake (R-AZ),Jeff Merkley (D-OR),Jefferson Sessions (R-AL),Jerry Moran (R-KS),Jim Inhofe (R-OK),Joe Donnelly (D-IN),Joe Manchin (D-WV),John Barrasso (R-WY),John Boozman (R-AR),John Cornyn (R-TX),John Hoeven (R-ND),John McCain (R-AZ),John Reed (D-RI),John Thune (R-SD),Johnny Isakson (R-GA),Jon Tester (D-MT),Joni Ernst (R-IA),Kelly Ayotte (R-NH),Kirsten Gillibrand (D-NY),Lamar Alexander (R-TN),Lindsey Graham (R-SC),Lisa Murkowski (R-AK),Marco Rubio (R-FL),Maria Cantwell (D-WA),Mark Kirk (R-IL),Mark Warner (D-VA),Martin Heinrich (D-NM),Mazie Hirono (D-HI),Michael Bennet (D-CO),Mike Crapo (R-ID),Mike Enzi (R-WY),Mike Lee (R-UT),Mike Rounds (R-SD),Mitch McConnell (R-KY),Orrin Hatch (R-UT),Pat Roberts (R-KS),Pat Toomey (R-PA),Patrick Leahy (D-VT),Patty Murray (D-WA),Rand Paul (R-KY),Richard Blumenthal (D-CT),Richard Burr (R-NC),Richard Durbin (D-IL),Richard Shelby (R-AL),Rob Portman (R-OH),Robert Menendez (D-NJ),Roger Wicker (R-MS),Ron Johnson (R-WI),Ron Wyden (D-OR),Roy Blunt (R-MO),Sheldon Whitehouse (D-RI),Shelley Capito (R-WV),Sherrod  Brown (D-OH),Steve Daines (R-MT),Susan Collins (R-ME),Tammy Baldwin (D-WI),Ted Cruz (R-TX),Thad Cochran (R-MS),Thomas Carper (D-DE),Thomas Tillis (R-NC),Timothy Kaine (D-VA),Timothy Scott (R-SC),Tom Cotton (R-AR),Tom Udall (D-NM),subjects,title,voteDate,voteResult
319,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,"[u'Abortion', u'Appropriations', u'Drug trafficking and controlled substances', u'Drug, alcohol, tobacco use', u'Employee benefits and pensions', u'Employment taxes', u'Family planning and birth control', u'Government trust funds', u'Health', u'Health care costs and insurance', u'Health care coverage and access', u'Health facilities and institutions', u'Health programs administration and funding', u'Health promotion and preventive care', u'Health technology, devices, supplies', u'Hospital care', u'Income tax credits', u'Income tax deductions', u'Medicaid', u'Medical education', u'Medicare', u'Mental health', u'Prescription drugs', u'Sales and excise taxes', u'Self-employed', u'Sex and reproductive health', u'Small business', u'Tax administration and collection, taxpayers', u'Tax-exempt organizations', u""Women's health""]",Amendment to H.R. 3762,"December 3, 2015,  04:49 PM",Motion Rejected
320,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,"[u'Abortion', u'Appropriations', u'Drug trafficking and controlled substances', u'Drug, alcohol, tobacco use', u'Employee benefits and pensions', u'Employment taxes', u'Family planning and birth control', u'Government trust funds', u'Health', u'Health care costs and insurance', u'Health care coverage and access', u'Health facilities and institutions', u'Health programs administration and funding', u'Health promotion and preventive care', u'Health technology, devices, supplies', u'Hospital care', u'Income tax credits', u'Income tax deductions', u'Medicaid', u'Medical education', u'Medicare', u'Mental health', u'Prescription drugs', u'Sales and excise taxes', u'Self-employed', u'Sex and reproductive health', u'Small business', u'Tax administration and collection, taxpayers', u'Tax-exempt organizations', u""Women's health""]",Amendment to H.R. 3762,"December 3, 2015,  05:09 PM",Motion Rejected
321,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,"[u'Abortion', u'Appropriations', u'Drug trafficking and controlled substances', u'Drug, alcohol, tobacco use', u'Employee benefits and pensions', u'Employment taxes', u'Family planning and birth control', u'Government trust funds', u'Health', u'Health care costs and insurance', u'Health care coverage and access', u'Health facilities and institutions', u'Health programs administration and funding', u'Health promotion and preventive care', u'Health technology, devices, supplies', u'Hospital care', u'Income tax credits', u'Income tax deductions', u'Medicaid', u'Medical education', u'Medicare', u'Mental health', u'Prescription drugs', u'Sales and excise taxes', u'Self-employed', u'Sex and reproductive health', u'Small business', u'Tax administration and collection, taxpayers', u'Tax-exempt organizations', u""Women's health""]",Amendment to H.R. 3762,"December 3, 2015,  05:30 PM",Motion Rejected
322,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,"[u'Abortion', u'Appropriations', u'Drug trafficking and controlled substances', u'Drug, alcohol, tobacco use', u'Employee benefits and pensions', u'Employment taxes', u'Family planning and birth control', u'Government trust funds', u'Health', u'Health care costs and insurance', u'Health care coverage and access', u'Health facilities and institutions', u'Health programs administration and funding', u'Health promotion and preventive care', u'Health technology, devices, supplies', u'Hospital care', u'Income tax credits', u'Income tax deductions', u'Medicaid', u'Medical education', u'Medicare', u'Mental health', u'Prescription drugs', u'Sales and excise taxes', u'Self-employed', u'Sex and reproductive health', u'Small business', u'Tax administration and collection, taxpayers', u'Tax-exempt organizations', u""Women's health""]",Amendment to H.R. 3762,"December 3, 2015,  05:52 PM",Amendment Rejected
323,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,"[u'Abortion', u'Appropriations', u'Drug trafficking and controlled substances', u'Drug, alcohol, tobacco use', u'Employee benefits and pensions', u'Employment taxes', u'Family planning and birth control', u'Government trust funds', u'Health', u'Health care costs and insurance', u'Health care coverage and access', u'Health facilities and institutions', u'Health programs administration and funding', u'Health promotion and preventive care', u'Health technology, devices, supplies', u'Hospital care', u'Income tax credits', u'Income tax deductions', u'Medicaid', u'Medical education', u'Medicare', u'Mental health', u'Prescription drugs', u'Sales and excise taxes', u'Self-employed', u'Sex and reproductive health', u'Small business', u'Tax administration and collection, taxpayers', u'Tax-exempt organizations', u""Women's health""]",Amendment to H.R. 3762,"December 3, 2015,  06:19 PM",Amendment Agreed to
324,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,"[u'Abortion', u'Appropriations', u'Drug trafficking and controlled substances', u'Drug, alcohol, tobacco use', u'Employee benefits and pensions', u'Employment taxes', u'Family planning and birth control', u'Government trust funds', u'Health', u'Health care costs and insurance', u'Health care coverage and access', u'Health facilities and institutions', u'Health programs administration and funding', u'Health promotion and preventive care', u'Health technology, devices, supplies', u'Hospital care', u'Income tax credits', u'Income tax deductions', u'Medicaid', u'Medical education', u'Medicare', u'Mental health', u'Prescription drugs', u'Sales and excise taxes', u'Self-employed', u'Sex and reproductive health', u'Small business', u'Tax administration and collection, taxpayers', u'Tax-exempt organizations', u""Women's health""]",Amendment to H.R. 3762,"December 3, 2015,  07:06 PM",Amendment Rejected
325,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,"[u'Abortion', u'Appropriations', u'Drug trafficking and controlled substances', u'Drug, alcohol, tobacco use', u'Employee benefits and pensions', u'Employment taxes', u'Family planning and birth control', u'Government trust funds', u'Health', u'Health care costs and insurance', u'Health care coverage and access', u'Health facilities and institutions', u'Health programs administration and funding', u'Health promotion and preventive care', u'Health technology, devices, supplies', u'Hospital care', u'Income tax credits', u'Income tax deductions', u'Medicaid', u'Medical education', u'Medicare', u'Mental health', u'Prescription drugs', u'Sales and excise taxes', u'Self-employed', u'Sex and reproductive health', u'Small business', u'Tax administration and collection, taxpayers', u'Tax-exempt organizations', u""Women's health""]",Amendment to H.R. 3762,"December 3, 2015,  07:06 PM",Motion Rejected
326,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,"[u'Abortion', u'Appropriations', u'Drug trafficking and controlled substances', u'Drug, alcohol, tobacco use', u'Employee benefits and pensions', u'Employment taxes', u'Family planning and birth control', u'Government trust funds', u'Health', u'Health care costs and insurance', u'Health care coverage and access', u'Health facilities and institutions', u'Health programs administration and funding', u'Health promotion and preventive care', u'Health technology, devices, supplies', u'Hospital care', u'Income tax credits', u'Income tax deductions', u'Medicaid', u'Medical education', u'Medicare', u'Mental health', u'Prescription drugs', u'Sales and excise taxes', u'Self-employed', u'Sex and reproductive health', u'Small business', u'Tax administration and collection, taxpayers', u'Tax-exempt organizations', u""Women's health""]",Amendment to H.R. 3762,"December 3, 2015,  07:31 PM",Motion Rejected
327,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,"[u'Abortion', u'Appropriations', u'Drug trafficking and controlled substances', u'Drug, alcohol, tobacco use', u'Employee benefits and pensions', u'Employment taxes', u'Family planning and birth control', u'Government trust funds', u'Health', u'Health care costs and insurance', u'Health care coverage and access', u'Health facilities and institutions', u'Health programs administration and funding', u'Health promotion and preventive care', u'Health technology, devices, supplies', u'Hospital care', u'Income tax credits', u'Income tax deductions', u'Medicaid', u'Medical education', u'Medicare', u'Mental health', u'Prescription drugs', u'Sales and excise taxes', u'Self-employed', u'Sex and reproductive health', u'Small business', u'Tax administration and collection, taxpayers', u'Tax-exempt organizations', u""Women's health""]",Amendment to H.R. 3762,"December 3, 2015,  07:48 PM",Motion Rejected
328,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,"[u'Abortion', u'Appropriations', u'Drug trafficking and controlled substances', u'Drug, alcohol, tobacco use', u'Employee benefits and pensions', u'Employment taxes', u'Family planning and birth control', u'Government trust funds', u'Health', u'Health care costs and insurance', u'Health care coverage and access', u'Health facilities and institutions', u'Health programs administration and funding', u'Health promotion and preventive care', u'Health technology, devices, supplies', u'Hospital care', u'Income tax credits', u'Income tax deductions', u'Medicaid', u'Medical education', u'Medicare', u'Mental health', u'Prescription drugs', u'Sales and excise taxes', u'Self-employed', u'Sex and reproductive health', u'Small business', u'Tax administration and collection, taxpayers', u'Tax-exempt organizations', u""Women's health""]",H.R. 3762,"December 3, 2015,  08:09 PM",Bill Passed
329,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,"[u'Accidents', u'Accounting and auditing', u'Administrative law and regulatory procedures', u'Advisory bodies', u'Africa', u'Air quality', u'Alternative and renewable resources', u'Appropriations', u'Arizona', u'Aviation and airports', u'Bank accounts, deposits, capital', u'Banking and financial institutions regulation', u'Business investment and capital', u'Business records', u'Canada', u'Civil actions and liability', u'Climate change and greenhouse gases', u'Commemorative events and holidays', u'Commuting', u'Competitiveness, trade promotion, trade deficits', u'Comprehensive health care', u'Computers and information technology', u'Congressional oversight', u'Consumer affairs', u'Consumer credit', u'Corporate finance and management', u'Credit and credit markets', u'Currency', u'Customs enforcement', u'Debt collection', u'Department of Energy', u'Department of Transportation', u'Department of the Treasury', u'Disaster relief and insurance', u'Drug, alcohol, tobacco use', u'Electric power generation and transmission', u'Elementary and secondary education', u'Emergency planning and evacuation', u'Employee benefits and pensions', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Executive agency funding and structure', u'Export-Import Bank of the United States', u'Federal Energy Regulatory Commission (FERC)', u'Federal Reserve System', u'Federal officials', u'Financial services and investments', u'Fraud offenses and financial crimes', u'Freedom of information', u'Government buildings, facilities, and property', u'Government corporations and government-sponsored enterprises', u'Government employee pay, benefits, personnel management', u'Government ethics and transparency, public corruption', u'Government information and archives', u'Government lending and loan guarantees', u'Government studies and investigations', u'Government trust funds', u'Hazardous wastes and toxic substances', u'Health care costs and insurance', u'Health care coverage and access', u'Historic sites and heritage areas', u'Homelessness and emergency shelter', u'Housing and community development funding', u'Housing finance and home ownership', u'Housing supply and affordability', u'Hunting and fishing', u'Hybrid, electric, and advanced technology vehicles', u'Indian lands and resources rights', u'Inflation and prices', u'Infrastructure development', u'Insects', u'Insurance industry and regulation', u'Interest, dividends, interest rates', u'Intergovernmental relations', u'Internal Revenue Service (IRS)', u'International organizations and cooperation', u'Internet and video services', u'Judicial review and appeals', u'Land use and conservation', u'Latin America', u'Lease and rental services', u'Licensing and registrations', u'Life, casualty, property insurance', u'Low- and moderate-income housing', u'Manufacturing', u'Marine and inland water transportation', u'Metals', u'Mexico', u'Military medicine', u'Motor carriers', u'Motor vehicles', u'National Railroad Passenger Corporation (Amtrak)', u'Navigation, waterways, harbors', u'Office of Management and Budget (OMB)', u'Oil and gas', u'Outdoor recreation', u'Pedestrians and bicycling', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Product safety and quality', u'Public contracts and procurement', u'Public housing', u'Public transit', u'Public utilities and utility rates', u'Public-private cooperation', u'Railroads', u'Regional and metropolitan planning', u'Research administration and funding', u'Research and development', u'Residential rehabilitation and home repair', u'Right of privacy', u'Roads and highways', u'Rural conditions and development', u'Sales and excise taxes', u'Securities', u'Securities and Exchange Commission (SEC)', u'Separation, divorce, custody, support', u'Small business', u'State and local government operations', u'Strategic materials and reserves', u'Tax administration and collection, taxpayers', u'Telephone and wireless communication', u'Texas', u'Trade agreements and negotiations', u'Transfer and inheritance taxes', u'Transportation and Public Works', u'Transportation costs', u'Transportation programs funding', u'Transportation safety and security', u'User charges and fees', u""Veterans' medical care"", u'Visas and passports', u'Water resources funding', u'Water use and supply', u'Wildlife conservation and habitat protection']",H.R. 22,"December 3, 2015,  08:31 PM",Motion Agreed to
330,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,"[u'Accidents', u'Accounting and auditing', u'Administrative law and regulatory procedures', u'Advisory bodies', u'Africa', u'Air quality', u'Alternative and renewable resources', u'Appropriations', u'Arizona', u'Aviation and airports', u'Bank accounts, deposits, capital', u'Banking and financial institutions regulation', u'Business investment and capital', u'Business records', u'Canada', u'Civil actions and liability', u'Climate change and greenhouse gases', u'Commemorative events and holidays', u'Commuting', u'Competitiveness, trade promotion, trade deficits', u'Comprehensive health care', u'Computers and information technology', u'Congressional oversight', u'Consumer affairs', u'Consumer credit', u'Corporate finance and management', u'Credit and credit markets', u'Currency', u'Customs enforcement', u'Debt collection', u'Department of Energy', u'Department of Transportation', u'Department of the Treasury', u'Disaster relief and insurance', u'Drug, alcohol, tobacco use', u'Electric power generation and transmission', u'Elementary and secondary education', u'Emergency planning and evacuation', u'Employee benefits and pensions', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Executive agency funding and structure', u'Export-Import Bank of the United States', u'Federal Energy Regulatory Commission (FERC)', u'Federal Reserve System', u'Federal officials', u'Financial services and investments', u'Fraud offenses and financial crimes', u'Freedom of information', u'Government buildings, facilities, and property', u'Government corporations and government-sponsored enterprises', u'Government employee pay, benefits, personnel management', u'Government ethics and transparency, public corruption', u'Government information and archives', u'Government lending and loan guarantees', u'Government studies and investigations', u'Government trust funds', u'Hazardous wastes and toxic substances', u'Health care costs and insurance', u'Health care coverage and access', u'Historic sites and heritage areas', u'Homelessness and emergency shelter', u'Housing and community development funding', u'Housing finance and home ownership', u'Housing supply and affordability', u'Hunting and fishing', u'Hybrid, electric, and advanced technology vehicles', u'Indian lands and resources rights', u'Inflation and prices', u'Infrastructure development', u'Insects', u'Insurance industry and regulation', u'Interest, dividends, interest rates', u'Intergovernmental relations', u'Internal Revenue Service (IRS)', u'International organizations and cooperation', u'Internet and video services', u'Judicial review and appeals', u'Land use and conservation', u'Latin America', u'Lease and rental services', u'Licensing and registrations', u'Life, casualty, property insurance', u'Low- and moderate-income housing', u'Manufacturing', u'Marine and inland water transportation', u'Metals', u'Mexico', u'Military medicine', u'Motor carriers', u'Motor vehicles', u'National Railroad Passenger Corporation (Amtrak)', u'Navigation, waterways, harbors', u'Office of Management and Budget (OMB)', u'Oil and gas', u'Outdoor recreation', u'Pedestrians and bicycling', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Product safety and quality', u'Public contracts and procurement', u'Public housing', u'Public transit', u'Public utilities and utility rates', u'Public-private cooperation', u'Railroads', u'Regional and metropolitan planning', u'Research administration and funding', u'Research and development', u'Residential rehabilitation and home repair', u'Right of privacy', u'Roads and highways', u'Rural conditions and development', u'Sales and excise taxes', u'Securities', u'Securities and Exchange Commission (SEC)', u'Separation, divorce, custody, support', u'Small business', u'State and local government operations', u'Strategic materials and reserves', u'Tax administration and collection, taxpayers', u'Telephone and wireless communication', u'Texas', u'Trade agreements and negotiations', u'Transfer and inheritance taxes', u'Transportation and Public Works', u'Transportation costs', u'Transportation programs funding', u'Transportation safety and security', u'User charges and fees', u""Veterans' medical care"", u'Visas and passports', u'Water resources funding', u'Water use and supply', u'Wildlife conservation and habitat protection']",H.R. 22,"December 3, 2015,  08:47 PM",Conference Report Agreed to
331,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,[],PN18,"December 7, 2015,  05:29 PM",Nomination Confirmed
